
===== BENCHMARK STARTED =====


=== SCENARIO START: SCENARIO_1 ===


>>> Running Model: phi4:14b on Scenario: SCENARIO_1

[START] Scenario=SCENARIO_1 | Model=phi4:14b | Trials=100
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 1/100
[DONE] Model=phi4:14b | Trial 1 | Latency=3.237s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 2/100
[DONE] Model=phi4:14b | Trial 2 | Latency=1.179s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 3/100
[DONE] Model=phi4:14b | Trial 3 | Latency=1.171s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 4/100
[DONE] Model=phi4:14b | Trial 4 | Latency=1.153s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 5/100
[DONE] Model=phi4:14b | Trial 5 | Latency=1.183s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 6/100
[DONE] Model=phi4:14b | Trial 6 | Latency=1.156s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 7/100
[DONE] Model=phi4:14b | Trial 7 | Latency=1.152s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 8/100
[DONE] Model=phi4:14b | Trial 8 | Latency=1.168s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 9/100
[DONE] Model=phi4:14b | Trial 9 | Latency=1.148s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 10/100
[DONE] Model=phi4:14b | Trial 10 | Latency=1.149s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 11/100
[DONE] Model=phi4:14b | Trial 11 | Latency=1.154s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 12/100
[DONE] Model=phi4:14b | Trial 12 | Latency=1.172s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 13/100
[DONE] Model=phi4:14b | Trial 13 | Latency=1.139s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 14/100
[DONE] Model=phi4:14b | Trial 14 | Latency=1.141s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 15/100
[DONE] Model=phi4:14b | Trial 15 | Latency=1.146s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 16/100
[DONE] Model=phi4:14b | Trial 16 | Latency=1.142s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 17/100
[DONE] Model=phi4:14b | Trial 17 | Latency=1.136s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 18/100
[DONE] Model=phi4:14b | Trial 18 | Latency=1.137s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 19/100
[DONE] Model=phi4:14b | Trial 19 | Latency=1.158s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 20/100
[DONE] Model=phi4:14b | Trial 20 | Latency=1.159s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 21/100
[DONE] Model=phi4:14b | Trial 21 | Latency=1.148s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 22/100
[DONE] Model=phi4:14b | Trial 22 | Latency=1.137s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 23/100
[DONE] Model=phi4:14b | Trial 23 | Latency=1.133s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 24/100
[DONE] Model=phi4:14b | Trial 24 | Latency=1.140s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 25/100
[DONE] Model=phi4:14b | Trial 25 | Latency=1.137s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 26/100
[DONE] Model=phi4:14b | Trial 26 | Latency=1.138s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 27/100
[DONE] Model=phi4:14b | Trial 27 | Latency=1.166s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 28/100
[DONE] Model=phi4:14b | Trial 28 | Latency=1.152s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 29/100
[DONE] Model=phi4:14b | Trial 29 | Latency=1.177s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 30/100
[DONE] Model=phi4:14b | Trial 30 | Latency=1.141s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 31/100
[DONE] Model=phi4:14b | Trial 31 | Latency=1.181s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 32/100
[DONE] Model=phi4:14b | Trial 32 | Latency=1.155s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 33/100
[DONE] Model=phi4:14b | Trial 33 | Latency=1.180s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 34/100
[DONE] Model=phi4:14b | Trial 34 | Latency=1.177s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 35/100
[DONE] Model=phi4:14b | Trial 35 | Latency=1.171s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 36/100
[DONE] Model=phi4:14b | Trial 36 | Latency=1.159s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 37/100
[DONE] Model=phi4:14b | Trial 37 | Latency=1.157s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 38/100
[DONE] Model=phi4:14b | Trial 38 | Latency=1.187s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 39/100
[DONE] Model=phi4:14b | Trial 39 | Latency=1.141s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 40/100
[DONE] Model=phi4:14b | Trial 40 | Latency=1.158s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 41/100
[DONE] Model=phi4:14b | Trial 41 | Latency=1.144s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 42/100
[DONE] Model=phi4:14b | Trial 42 | Latency=1.151s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 43/100
[DONE] Model=phi4:14b | Trial 43 | Latency=1.162s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 44/100
[DONE] Model=phi4:14b | Trial 44 | Latency=1.264s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 45/100
[DONE] Model=phi4:14b | Trial 45 | Latency=1.260s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 46/100
[DONE] Model=phi4:14b | Trial 46 | Latency=1.260s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 47/100
[DONE] Model=phi4:14b | Trial 47 | Latency=1.224s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 48/100
[DONE] Model=phi4:14b | Trial 48 | Latency=1.228s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 49/100
[DONE] Model=phi4:14b | Trial 49 | Latency=1.182s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 50/100
[DONE] Model=phi4:14b | Trial 50 | Latency=1.241s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 51/100
[DONE] Model=phi4:14b | Trial 51 | Latency=1.194s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 52/100
[DONE] Model=phi4:14b | Trial 52 | Latency=1.170s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 53/100
[DONE] Model=phi4:14b | Trial 53 | Latency=1.178s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 54/100
[DONE] Model=phi4:14b | Trial 54 | Latency=1.162s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 55/100
[DONE] Model=phi4:14b | Trial 55 | Latency=1.214s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 56/100
[DONE] Model=phi4:14b | Trial 56 | Latency=1.171s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 57/100
[DONE] Model=phi4:14b | Trial 57 | Latency=1.209s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 58/100
[DONE] Model=phi4:14b | Trial 58 | Latency=1.197s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 59/100
[DONE] Model=phi4:14b | Trial 59 | Latency=1.154s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 60/100
[DONE] Model=phi4:14b | Trial 60 | Latency=1.163s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 61/100
[DONE] Model=phi4:14b | Trial 61 | Latency=1.147s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 62/100
[DONE] Model=phi4:14b | Trial 62 | Latency=1.163s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 63/100
[DONE] Model=phi4:14b | Trial 63 | Latency=1.161s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 64/100
[DONE] Model=phi4:14b | Trial 64 | Latency=1.158s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 65/100
[DONE] Model=phi4:14b | Trial 65 | Latency=1.152s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 66/100
[DONE] Model=phi4:14b | Trial 66 | Latency=1.160s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 67/100
[DONE] Model=phi4:14b | Trial 67 | Latency=1.150s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 68/100
[DONE] Model=phi4:14b | Trial 68 | Latency=1.139s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 69/100
[DONE] Model=phi4:14b | Trial 69 | Latency=1.148s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 70/100
[DONE] Model=phi4:14b | Trial 70 | Latency=1.143s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 71/100
[DONE] Model=phi4:14b | Trial 71 | Latency=1.159s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 72/100
[DONE] Model=phi4:14b | Trial 72 | Latency=1.139s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 73/100
[DONE] Model=phi4:14b | Trial 73 | Latency=1.137s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 74/100
[DONE] Model=phi4:14b | Trial 74 | Latency=1.151s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 75/100
[DONE] Model=phi4:14b | Trial 75 | Latency=1.145s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 76/100
[DONE] Model=phi4:14b | Trial 76 | Latency=1.142s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 77/100
[DONE] Model=phi4:14b | Trial 77 | Latency=1.139s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 78/100
[DONE] Model=phi4:14b | Trial 78 | Latency=1.146s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 79/100
[DONE] Model=phi4:14b | Trial 79 | Latency=1.142s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 80/100
[DONE] Model=phi4:14b | Trial 80 | Latency=1.245s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 81/100
[DONE] Model=phi4:14b | Trial 81 | Latency=1.148s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 82/100
[DONE] Model=phi4:14b | Trial 82 | Latency=1.173s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 83/100
[DONE] Model=phi4:14b | Trial 83 | Latency=1.183s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 84/100
[DONE] Model=phi4:14b | Trial 84 | Latency=1.155s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 85/100
[DONE] Model=phi4:14b | Trial 85 | Latency=1.169s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 86/100
[DONE] Model=phi4:14b | Trial 86 | Latency=1.137s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 87/100
[DONE] Model=phi4:14b | Trial 87 | Latency=1.180s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 88/100
[DONE] Model=phi4:14b | Trial 88 | Latency=1.179s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 89/100
[DONE] Model=phi4:14b | Trial 89 | Latency=1.166s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 90/100
[DONE] Model=phi4:14b | Trial 90 | Latency=1.200s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 91/100
[DONE] Model=phi4:14b | Trial 91 | Latency=1.250s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 92/100
[DONE] Model=phi4:14b | Trial 92 | Latency=1.203s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 93/100
[DONE] Model=phi4:14b | Trial 93 | Latency=1.137s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 94/100
[DONE] Model=phi4:14b | Trial 94 | Latency=1.137s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 95/100
[DONE] Model=phi4:14b | Trial 95 | Latency=1.146s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 96/100
[DONE] Model=phi4:14b | Trial 96 | Latency=1.136s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 97/100
[DONE] Model=phi4:14b | Trial 97 | Latency=1.148s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 98/100
[DONE] Model=phi4:14b | Trial 98 | Latency=1.141s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 99/100
[DONE] Model=phi4:14b | Trial 99 | Latency=1.156s
[RUN] Scenario=SCENARIO_1 | Model=phi4:14b | Trial 100/100
[DONE] Model=phi4:14b | Trial 100 | Latency=1.141s
[END] Scenario=SCENARIO_1 | Model=phi4:14b
[RESULTS] Model=phi4:14b | Scenario=SCENARIO_1 | Latencies=[3.2365102767944336, 1.1791093349456787, 1.170764684677124, 1.1529936790466309, 1.182922601699829, 1.156006097793579, 1.1518826484680176, 1.1676406860351562, 1.14790678024292, 1.1488540172576904, 1.1536259651184082, 1.171868085861206, 1.1387898921966553, 1.1414525508880615, 1.1456348896026611, 1.1421244144439697, 1.1356890201568604, 1.1372249126434326, 1.1575207710266113, 1.1585922241210938, 1.1480712890625, 1.1366844177246094, 1.13287353515625, 1.140411138534546, 1.1374061107635498, 1.1381216049194336, 1.166128158569336, 1.1524291038513184, 1.17702054977417, 1.1405448913574219, 1.1814122200012207, 1.1549160480499268, 1.1804375648498535, 1.177347183227539, 1.170926809310913, 1.159451961517334, 1.1571619510650635, 1.186802864074707, 1.140702486038208, 1.1576902866363525, 1.1437036991119385, 1.1508922576904297, 1.1615817546844482, 1.2638311386108398, 1.2598185539245605, 1.2598345279693604, 1.2240583896636963, 1.228302240371704, 1.18153977394104, 1.2408876419067383, 1.194413185119629, 1.1695668697357178, 1.178467035293579, 1.1615700721740723, 1.2142868041992188, 1.1712327003479004, 1.2089052200317383, 1.1972663402557373, 1.1540415287017822, 1.163423776626587, 1.147068738937378, 1.1630747318267822, 1.1611740589141846, 1.1583454608917236, 1.1523616313934326, 1.1598114967346191, 1.1504936218261719, 1.139211654663086, 1.1475536823272705, 1.1430156230926514, 1.1592373847961426, 1.1389222145080566, 1.1373422145843506, 1.1505227088928223, 1.1453254222869873, 1.1424429416656494, 1.1391570568084717, 1.1458373069763184, 1.1423835754394531, 1.2451786994934082, 1.1478297710418701, 1.17258620262146, 1.18265962600708, 1.1550562381744385, 1.1693263053894043, 1.1366031169891357, 1.1796176433563232, 1.1793832778930664, 1.1657733917236328, 1.199660301208496, 1.2497670650482178, 1.203413724899292, 1.1367385387420654, 1.1371021270751953, 1.1462202072143555, 1.135993480682373, 1.148176670074463, 1.141139268875122, 1.1555664539337158, 1.1409752368927002]

=== SCENARIO END: SCENARIO_1 ===


=== SCENARIO START: SCENARIO_2 ===


>>> Running Model: phi4:14b on Scenario: SCENARIO_2

[START] Scenario=SCENARIO_2 | Model=phi4:14b | Trials=100
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 1/100
[DONE] Model=phi4:14b | Trial 1 | Latency=0.707s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 2/100
[DONE] Model=phi4:14b | Trial 2 | Latency=0.656s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 3/100
[DONE] Model=phi4:14b | Trial 3 | Latency=0.667s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 4/100
[DONE] Model=phi4:14b | Trial 4 | Latency=0.658s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 5/100
[DONE] Model=phi4:14b | Trial 5 | Latency=0.660s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 6/100
[DONE] Model=phi4:14b | Trial 6 | Latency=0.661s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 7/100
[DONE] Model=phi4:14b | Trial 7 | Latency=0.667s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 8/100
[DONE] Model=phi4:14b | Trial 8 | Latency=0.659s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 9/100
[DONE] Model=phi4:14b | Trial 9 | Latency=0.667s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 10/100
[DONE] Model=phi4:14b | Trial 10 | Latency=0.677s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 11/100
[DONE] Model=phi4:14b | Trial 11 | Latency=0.665s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 12/100
[DONE] Model=phi4:14b | Trial 12 | Latency=0.676s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 13/100
[DONE] Model=phi4:14b | Trial 13 | Latency=0.673s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 14/100
[DONE] Model=phi4:14b | Trial 14 | Latency=0.682s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 15/100
[DONE] Model=phi4:14b | Trial 15 | Latency=0.666s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 16/100
[DONE] Model=phi4:14b | Trial 16 | Latency=0.661s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 17/100
[DONE] Model=phi4:14b | Trial 17 | Latency=0.675s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 18/100
[DONE] Model=phi4:14b | Trial 18 | Latency=0.718s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 19/100
[DONE] Model=phi4:14b | Trial 19 | Latency=0.705s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 20/100
[DONE] Model=phi4:14b | Trial 20 | Latency=0.695s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 21/100
[DONE] Model=phi4:14b | Trial 21 | Latency=0.705s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 22/100
[DONE] Model=phi4:14b | Trial 22 | Latency=0.716s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 23/100
[DONE] Model=phi4:14b | Trial 23 | Latency=0.696s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 24/100
[DONE] Model=phi4:14b | Trial 24 | Latency=0.698s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 25/100
[DONE] Model=phi4:14b | Trial 25 | Latency=0.669s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 26/100
[DONE] Model=phi4:14b | Trial 26 | Latency=0.673s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 27/100
[DONE] Model=phi4:14b | Trial 27 | Latency=0.662s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 28/100
[DONE] Model=phi4:14b | Trial 28 | Latency=0.694s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 29/100
[DONE] Model=phi4:14b | Trial 29 | Latency=0.703s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 30/100
[DONE] Model=phi4:14b | Trial 30 | Latency=0.682s
[RUN] Scenario=SCENARIO_2 | Model=phi4:14b | Trial 31/100
